indicator,location,country,value,lat,long,code,rank
Safety,AUS,Australia,32.13333333,-25.274398,133.775136,36,31
Safety,MEX,Mexico,32.08333333,23.634501,-102.552784,484,32
Safety,SVK,Slovak Republic,31.8,48.669026,19.699024,703,33
Safety,TUR,Turkey,31.08333334,38.963745,35.243322,792,34
Safety,ITA,Italy,30.16666667,41.87194,12.56738,380,35
Safety,HUN,Hungary,27.41666667,47.162494,19.503304,348,36
Safety,CHL,Chile,27.01666667,-35.675147,-71.542969,152,37
Safety,ZAF,South Africa,24.95,-30.559482,22.937506,710,38
Work-Life Balance,TUR,Turkey,24.81333333,38.963745,35.243322,792,1
Work-Life Balance,MEX,Mexico,19.79833334,23.634501,-102.552784,484,2
Work-Life Balance,KOR,Korea,18.45666667,35.907757,127.766922,410,3
Work-Life Balance,JPN,Japan,17.95833333,36.204824,138.252924,392,4
Work-Life Balance,ZAF,South Africa,16.24166667,-30.559482,22.937506,710,5
Work-Life Balance,NZL,New Zealand,14.29333333,-40.900557,174.885971,554,6
Work-Life Balance,ISR,Israel,14.23166667,31.046051,34.851612,376,7
Work-Life Balance,CHL,Chile,13.88,-35.675147,-71.542969,152,8
Work-Life Balance,GBR,United Kingdom,13.81166667,55.378051,-3.435973,826,9
Work-Life Balance,ISL,Iceland,13.775,64.963051,-19.020835,352,10
Work-Life Balance,AUS,Australia,13.73166667,-25.274398,133.775136,36,11
Work-Life Balance,USA,United States,13.02166667,37.09024,-95.712891,840,12
Work-Life Balance,PRT,Portugal,12.27833334,39.399872,-8.224454,620,13
Work-Life Balance,FRA,France,12.05333334,46.227638,2.213749,250,14
Work-Life Balance,BRA,Brazil,11.75333333,-14.235004,-51.92528,76,15
Work-Life Balance,AUT,Austria,10.88833333,47.516231,14.550072,40,16
Work-Life Balance,POL,Poland,10.72833333,51.919438,19.145136,616,17
Work-Life Balance,ESP,Spain,10.70666667,40.463667,-3.74922,724,18
Work-Life Balance,CHE,Switzerland,10.60166667,46.818188,8.227512,756,19
Work-Life Balance,SVK,Slovak Republic,10.49833334,48.669026,19.699024,703,20
Work-Life Balance,GRC,Greece,10.47833333,39.074208,21.824312,300,21
Work-Life Balance,CZE,Czech Republic,10.405,49.817492,15.472962,203,22
Work-Life Balance,BEL,Belgium,10.215,50.503887,4.469936,56,23
Work-Life Balance,DEU,Germany,10.21333333,51.165691,10.451526,276,24
Work-Life Balance,SVN,Slovenia,10.07833333,46.151241,14.995463,705,25
Work-Life Balance,IRL,Ireland,9.716666665,53.41291,-8.24389,372,26
Work-Life Balance,FIN,Finland,9.399999999,61.92411,25.748151,246,27
Work-Life Balance,HUN,Hungary,9.368333334,47.162494,19.503304,348,28
Work-Life Balance,NOR,Norway,9.289999999,60.472024,8.468946,578,29
Work-Life Balance,ITA,Italy,9.253333335,41.87194,12.56738,380,30
Work-Life Balance,LUX,Luxembourg,9.15,49.815273,6.129583,442,31
Work-Life Balance,CAN,Canada,9.103333332,56.130366,-106.346771,124,32
Work-Life Balance,EST,Estonia,9.098333335,58.595272,25.013607,233,33
Work-Life Balance,DNK,Denmark,9.029999999,56.26392,9.501785,208,34
Work-Life Balance,NLD,Netherlands,8.150000002,52.132633,5.291266,528,35
Work-Life Balance,LVA,Latvia,8.145000002,56.879635,24.603189,428,36
Work-Life Balance,SWE,Sweden,8.138333335,60.128161,18.643501,752,37
Work-Life Balance,RUS,Russia,7.528333334,61.52401,105.318756,643,38
All Areas,USA,United States,10724.84784,37.09024,-95.712891,840,1
